source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Inflam. FIB,LC,CXCL12,CXCR4,0.0386537310062917,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. DC,LC,PPIA,BSG,0.0383399996808996,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. TC,LC,ANXA1,FPR3,0.0381807902170153,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
APOE+ FIB,FBN1+ FIB,CXCL12,ACKR3,0.0376164125587348,0.0,CXCL12_ACKR3,CXCL12 - ACKR3,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. FIB,cDC2,C3,ITGAM_ITGB2,0.0374727821777586,0.0,C3_ITGAM_ITGB2,C3 - (ITGAM+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
cDC1,LC,PPIA,BSG,0.0372621927814242,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC2,FBN1+ FIB,MIF,ACKR3,0.0368479970548644,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
Inflam. FIB,CD40LG+ TC,MIF,CD74_CXCR4,0.0362848046650557,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,LC,C3,ITGAM_ITGB2,0.0354900892257552,0.0,C3_ITGAM_ITGB2,C3 - (ITGAM+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
APOE+ FIB,cDC2,C3,ITGAM_ITGB2,0.0353044713856398,0.0,C3_ITGAM_ITGB2,C3 - (ITGAM+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
TC,FBN1+ FIB,MIF,ACKR3,0.0348596664565322,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
CD40LG+ TC,FBN1+ FIB,MIF,ACKR3,0.0346690918674121,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
FBN1+ FIB,CD40LG+ TC,CXCL12,CXCR4,0.0345990245747418,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
cDC1,FBN1+ FIB,MIF,ACKR3,0.0339253107582871,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
NKT,FBN1+ FIB,MIF,ACKR3,0.0336631689617156,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
APOE+ FIB,LC,C3,ITGAM_ITGB2,0.0334325193259042,0.0,C3_ITGAM_ITGB2,C3 - (ITGAM+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
FBN1+ FIB,cDC2,C3,ITGAX_ITGB2,0.0325016593538945,0.0,C3_ITGAX_ITGB2,C3 - (ITGAX+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
Inflam. DC,CD40LG+ TC,MIF,CD74_CXCR4,0.0310649339577305,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,CD40LG+ TC,MIF,CD74_CXCR4,0.0309764665128479,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,FBN1+ FIB,MIF,ACKR3,0.0305630071396526,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
FBN1+ FIB,CD40LG+ TC,MIF,CD74_CXCR4,0.0298592866364148,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,LC,PPIA,BSG,0.0295837186539633,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
FBN1+ FIB,cDC2,C3,ITGAM_ITGB2,0.0291965523319252,0.0,C3_ITGAM_ITGB2,C3 - (ITGAM+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
Inflam. FIB,Inflam. DC,CXCL12,CXCR4,0.0289434111449669,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
COL11A1+ FIB,cDC2,MIF,CD74_CXCR4,0.0281925058169161,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
FBN1+ FIB,LC,C3,ITGAM_ITGB2,0.0276391821661863,0.0,C3_ITGAM_ITGB2,C3 - (ITGAM+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
cDC2,Inflam. TC,PPIA,BSG,0.0269983176130379,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
FBN1+ FIB,FBN1+ FIB,CXCL12,ACKR3,0.0262389569790921,0.0,CXCL12_ACKR3,CXCL12 - ACKR3,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. DC,FBN1+ FIB,MIF,ACKR3,0.0261439345098322,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
Inflam. TC,Inflam. TC,PPIA,BSG,0.02609081476387,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
APOE+ FIB,FBN1+ FIB,MIF,ACKR3,0.0260691041531709,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
LC,Inflam. TC,PPIA,BSG,0.0260359153190022,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC2,FBN1+ FIB,PPIA,BSG,0.0253046980673325,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
NKT,Inflam. TC,PPIA,BSG,0.0252907916471444,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
FBN1+ FIB,FBN1+ FIB,MIF,ACKR3,0.0251243216540257,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
Inflam. TC,FBN1+ FIB,PPIA,BSG,0.0244526927062716,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
LC,FBN1+ FIB,PPIA,BSG,0.0244011537834626,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC2,Inflam. FIB,PPIA,BSG,0.0243152638338036,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
NKT,FBN1+ FIB,PPIA,BSG,0.0237016769315958,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. TC,Inflam. FIB,PPIA,BSG,0.0234957695122327,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
LC,Inflam. FIB,PPIA,BSG,0.0234461990216411,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC2,NKT,PPIA,BSG,0.0233625566688698,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
NKT,Inflam. FIB,PPIA,BSG,0.0227734576399452,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. TC,NKT,PPIA,BSG,0.0225744284131069,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
LC,NKT,PPIA,BSG,0.02252675689197,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
NKT,NKT,PPIA,BSG,0.0218798059658196,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. DC,Inflam. TC,PPIA,BSG,0.0212608303324406,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
COL11A1+ FIB,cDC2,ANXA1,FPR3,0.0211962129960545,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
APOE+ FIB,cDC2,CXCL12,CXCR4,0.0211253567730151,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. DC,TC,LGALS9,PTPRC,0.020879112041677,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
cDC1,Inflam. TC,PPIA,BSG,0.0206528385381186,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC2,cDC2,PPIA,BSG,0.020070474215478,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. DC,FBN1+ FIB,PPIA,BSG,0.0199197582000126,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. TC,cDC2,PPIA,BSG,0.0193911982409188,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
LC,cDC2,PPIA,BSG,0.0193501158229467,0.01,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC1,FBN1+ FIB,PPIA,BSG,0.0193493586077729,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC2,TC,LGALS9,PTPRC,0.0193258857193834,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
cDC2,Inflam. DC,PPIA,BSG,0.0191634120014556,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. DC,Inflam. FIB,PPIA,BSG,0.019136745530192,0.01,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
NKT,cDC2,PPIA,BSG,0.0187926415795481,0.01,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC1,Inflam. FIB,PPIA,BSG,0.0185883421515929,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. TC,Inflam. DC,PPIA,BSG,0.0185142551184477,0.01,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. DC,NKT,PPIA,BSG,0.0183831172702269,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC1,NKT,PPIA,BSG,0.0178559175279209,0.02,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
TC,LC,PPIA,BSG,0.0177583617791582,0.01,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. DC,CD40LG+ TC,LGALS9,PTPRC,0.0175903756942595,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
Inflam. DC,NKT,LGALS9,PTPRC,0.0175085259749766,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
Inflam. DC,cDC2,LGALS9,CD44,0.0173823548171496,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
CD40LG+ TC,LC,PPIA,BSG,0.0173330523791155,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. DC,LC,LGALS9,CD44,0.0171200704868621,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
Inflam. DC,Inflam. TC,LGALS9,PTPRC,0.016669889860036,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
Inflam. FIB,Inflam. TC,PPIA,BSG,0.0163389026336421,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
cDC2,CD40LG+ TC,LGALS9,PTPRC,0.0162777357342907,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
cDC2,NKT,LGALS9,PTPRC,0.0162018931252192,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
cDC2,cDC2,LGALS9,CD44,0.0160849837615319,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
cDC2,LC,LGALS9,CD44,0.0158419599996515,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
Inflam. DC,CD40LG+ TC,LGALS9,CD44,0.015834833197884,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
cDC2,Inflam. TC,LGALS9,PTPRC,0.015424860476405,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
Inflam. FIB,FBN1+ FIB,PPIA,BSG,0.0153034372399072,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. DC,cDC2,LGALS9,PTPRC,0.0153004347639392,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
Inflam. FIB,CD40LG+ TC,CXCL12,CXCR4,0.0149328424392947,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. TC,LC,IL13,IL13RA1,0.014889435019242,0.0,IL13_IL13RA1,IL13 - IL13RA1,IL4,Secreted Signaling,KEGG: hsa04060
Inflam. FIB,Inflam. FIB,PPIA,BSG,0.0146991629725874,0.02,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
FBN1+ FIB,cDC2,CXCL12,CXCR4,0.0146598044656742,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
cDC2,CD40LG+ TC,LGALS9,CD44,0.0146512426961681,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
LC,TC,LGALS9,PTPRC,0.0144314918208797,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
cDC2,cDC2,LGALS9,PTPRC,0.0141562138536864,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
COL11A1+ FIB,CD40LG+ TC,MIF,CD74_CXCR4,0.0141480603831425,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. DC,Inflam. FIB,LGALS9,CD44,0.0136204835780601,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
Inflam. DC,cDC2,ANXA1,FPR3,0.013357246614658,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
Inflam. DC,FBN1+ FIB,LGALS9,CD44,0.0130919076874602,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
COL11A1+ FIB,LC,ANXA1,FPR3,0.0129387101702726,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
FBN1+ FIB,LC,PPIA,BSG,0.0128502374001935,0.04,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. DC,Inflam. TC,LGALS9,CD44,0.0128392688429682,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
cDC2,Inflam. FIB,LGALS9,CD44,0.012600287784802,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
Inflam. DC,Inflam. DC,LGALS9,CD44,0.0123778187555314,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
LC,CD40LG+ TC,LGALS9,PTPRC,0.0121457428743179,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
cDC2,FBN1+ FIB,LGALS9,CD44,0.0121108169632309,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
LC,NKT,LGALS9,PTPRC,0.0120889158088482,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
APOE+ FIB,LC,PPIA,BSG,0.012080258292101,0.04,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. DC,cDC1,LGALS9,CD44,0.0120397088928494,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
LC,cDC2,LGALS9,CD44,0.0120013227563526,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
cDC2,Inflam. TC,LGALS9,CD44,0.0118768827076929,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
COL11A1+ FIB,FBN1+ FIB,MIF,ACKR3,0.0118740244187865,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
LC,LC,LGALS9,CD44,0.0118192567903609,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
LC,Inflam. TC,LGALS9,PTPRC,0.0115068318065934,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
Inflam. DC,cDC1,LGALS9,PTPRC,0.0114858682637616,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
cDC2,Inflam. DC,LGALS9,CD44,0.0114496201071519,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
Inflam. FIB,FBN1+ FIB,CXCL12,ACKR3,0.0112691915113616,0.0,CXCL12_ACKR3,CXCL12 - ACKR3,CXCL,Secreted Signaling,KEGG: hsa04060
cDC2,cDC1,LGALS9,CD44,0.0111365788202363,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
Inflam. DC,LC,LGALS9,PTPRC,0.0109706798824969,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
LC,CD40LG+ TC,LGALS9,CD44,0.0109275377127974,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
cDC2,cDC1,LGALS9,PTPRC,0.0106238364798122,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
LC,cDC2,LGALS9,PTPRC,0.0105569755753928,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
cDC2,LC,LGALS9,PTPRC,0.0101469168697055,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
Inflam. DC,LC,LGALS9,P4HB,0.00992162880394611,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
LC,Inflam. FIB,LGALS9,CD44,0.00939287686126797,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
APOE+ FIB,FBN1+ FIB,FGF7,FGFR1,0.0093626114621775,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
cDC2,LC,LGALS9,P4HB,0.00917590580245009,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
CD40LG+ TC,cDC2,CD40LG,ITGAM_ITGB2,0.00903999384236618,0.0,CD40LG_ITGAM_ITGB2,CD40LG - (ITGAM+ITGB2),CD40,Secreted Signaling,PMID: 28676852
LC,FBN1+ FIB,LGALS9,CD44,0.00902686208002975,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
COL11A1+ FIB,cDC2,IGFBP3,TMEM219,0.00901196960140417,0.0,IGFBP3_TMEM219,IGFBP3 - TMEM219,IGFBP,Secreted Signaling,PMID:20353938
LC,Inflam. TC,LGALS9,CD44,0.00885196415680378,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
CD40LG+ TC,LC,CD40LG,ITGAM_ITGB2,0.00854832519520304,0.0,CD40LG_ITGAM_ITGB2,CD40LG - (ITGAM+ITGB2),CD40,Secreted Signaling,PMID: 28676852
LC,Inflam. DC,LGALS9,CD44,0.00853258122847017,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
LC,cDC1,LGALS9,CD44,0.00829862447955835,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
APOE+ FIB,Inflam. FIB,FGF7,FGFR1,0.00825145846415559,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
Inflam. DC,LC,ANXA1,FPR3,0.00812824466733594,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
CD40LG+ TC,Inflam. FIB,TNF,TNFRSF1A,0.00802946327698537,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
LC,cDC1,LGALS9,PTPRC,0.0079154992775781,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
LC,LC,LGALS9,PTPRC,0.00755923196944922,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
APOE+ FIB,COL11A1+ FIB,FGF7,FGFR1,0.00738603309120813,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
FBN1+ FIB,FBN1+ FIB,FGF7,FGFR1,0.00724711465537513,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
LC,LC,LGALS9,P4HB,0.00683414020326233,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
CD40LG+ TC,FBN1+ FIB,TNF,TNFRSF1A,0.0065779231902603,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
COL11A1+ FIB,LC,IGFBP3,TMEM219,0.00648762969323248,0.0,IGFBP3_TMEM219,IGFBP3 - TMEM219,IGFBP,Secreted Signaling,PMID:20353938
FBN1+ FIB,Inflam. FIB,FGF7,FGFR1,0.00638541011146267,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
APOE+ FIB,APOE+ FIB,FGF7,FGFR1,0.00627629337938669,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
Inflam. FIB,cDC2,CXCL12,CXCR4,0.00625371402611911,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
Inflam. DC,TC,LGALS9,CD44,0.00620072504500789,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
TC,Inflam. FIB,TNF,TNFRSF1A,0.00608893722079343,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
Inflam. DC,NKT,LGALS9,CD44,0.00585823609284651,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
cDC2,TC,LGALS9,CD44,0.00573305076920514,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
FBN1+ FIB,COL11A1+ FIB,FGF7,FGFR1,0.0057145709693737,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
cDC2,NKT,LGALS9,CD44,0.00541625241285434,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
Inflam. TC,cDC2,IL13,IL13RA1,0.00535468012753422,0.0,IL13_IL13RA1,IL13 - IL13RA1,IL4,Secreted Signaling,KEGG: hsa04060
COL11A1+ FIB,FBN1+ FIB,FGF7,FGFR1,0.00534144219702912,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
Inflam. DC,APOE+ FIB,LGALS9,CD44,0.00520496037268373,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
CD40LG+ TC,APOE+ FIB,TNF,TNFRSF1A,0.00512920615710083,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
TC,FBN1+ FIB,TNF,TNFRSF1A,0.00498643567159664,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
FBN1+ FIB,APOE+ FIB,FGF7,FGFR1,0.0048547375158476,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
Inflam. TC,Inflam. DC,IL13,IL13RA1,0.0048526141739374,0.0,IL13_IL13RA1,IL13 - IL13RA1,IL4,Secreted Signaling,KEGG: hsa04060
cDC2,APOE+ FIB,LGALS9,CD44,0.00481202551968054,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
COL11A1+ FIB,Inflam. FIB,FGF7,FGFR1,0.00470525410577219,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
cDC1,Inflam. FIB,TNF,TNFRSF1A,0.00464490053469381,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
Inflam. DC,FBN1+ FIB,LGALS9,P4HB,0.00433409191669664,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
Inflam. DC,Inflam. FIB,LGALS9,P4HB,0.00428435063771578,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
LC,TC,LGALS9,CD44,0.00426614656413978,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
COL11A1+ FIB,COL11A1+ FIB,FGF7,FGFR1,0.00421018105267727,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
LC,NKT,LGALS9,CD44,0.00403007821205547,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
cDC2,FBN1+ FIB,LGALS9,P4HB,0.00400663620697057,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
cDC2,Inflam. FIB,LGALS9,P4HB,0.00396063810514765,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
TC,APOE+ FIB,TNF,TNFRSF1A,0.00388685530038189,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
Inflam. DC,Inflam. DC,LGALS9,PTPRC,0.00388594851017741,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
cDC1,FBN1+ FIB,TNF,TNFRSF1A,0.00380286500347529,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
cDC2,FBN1+ FIB,GAS6,AXL,0.00372843097420073,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
